"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"547561","23127","DOLLCRAFT GIRL NICOLE",4,"3/24/11 8:44",4.95,14129,"United Kingdom"
"547561","23128","DOLLCRAFT BOY JEAN-PAUL",4,"3/24/11 8:44",4.95,14129,"United Kingdom"
"547561","23126","DOLLCRAFT GIRL AMELIE",4,"3/24/11 8:44",4.95,14129,"United Kingdom"
"547561","23077","DOUGHNUT LIP GLOSS",20,"3/24/11 8:44",1.25,14129,"United Kingdom"
"547561","84375","SET OF 20 KIDS COOKIE CUTTERS",12,"3/24/11 8:44",2.1,14129,"United Kingdom"
"547561","22993","SET OF 4 PANTRY JELLY MOULDS",12,"3/24/11 8:44",1.25,14129,"United Kingdom"
"547561","84378","SET OF 3 HEART COOKIE CUTTERS",12,"3/24/11 8:44",1.25,14129,"United Kingdom"
"547561","84380","SET OF 3 BUTTERFLY COOKIE CUTTERS",12,"3/24/11 8:44",1.25,14129,"United Kingdom"
"547561","22935","BAKING MOULD ROSE MILK CHOCOLATE",12,"3/24/11 8:44",3.25,14129,"United Kingdom"
"547561","22933","BAKING MOULD EASTER EGG MILK CHOC",12,"3/24/11 8:44",2.95,14129,"United Kingdom"
"547561","22937","BAKING MOULD CHOCOLATE CUPCAKES",12,"3/24/11 8:44",2.55,14129,"United Kingdom"
"547561","22930","BAKING MOULD HEART MILK CHOCOLATE",12,"3/24/11 8:44",2.55,14129,"United Kingdom"
"547561","22585","PACK OF 6 BIRDY GIFT TAGS",12,"3/24/11 8:44",1.25,14129,"United Kingdom"
"547561","22957","SET 3 PAPER VINTAGE CHICK PAPER EGG",6,"3/24/11 8:44",2.95,14129,"United Kingdom"
"547561","22148","EASTER CRAFT 4 CHICKS",12,"3/24/11 8:44",1.95,14129,"United Kingdom"
"547561","22149","FELTCRAFT 6 FLOWER FRIENDS",6,"3/24/11 8:44",2.1,14129,"United Kingdom"
"547562","21259","VICTORIAN SEWING BOX SMALL",6,"3/24/11 8:47",5.95,16525,"United Kingdom"
"547562","22169","FAMILY ALBUM WHITE PICTURE FRAME",8,"3/24/11 8:47",7.65,16525,"United Kingdom"
"547562","82494L","WOODEN FRAME ANTIQUE WHITE",24,"3/24/11 8:47",2.55,16525,"United Kingdom"
"547562","82482","WOODEN PICTURE FRAME WHITE FINISH",36,"3/24/11 8:47",2.1,16525,"United Kingdom"
"547562","47566","PARTY BUNTING",4,"3/24/11 8:47",4.95,16525,"United Kingdom"
"547562","21524","DOORMAT SPOTTY HOME SWEET HOME",10,"3/24/11 8:47",6.75,16525,"United Kingdom"
"547562","21164","HOME SWEET HOME METAL SIGN",12,"3/24/11 8:47",2.95,16525,"United Kingdom"
"547562","85099B","JUMBO BAG RED RETROSPOT",200,"3/24/11 8:47",1.65,16525,"United Kingdom"
"547562","85099F","JUMBO BAG STRAWBERRY",100,"3/24/11 8:47",1.65,16525,"United Kingdom"
"547563","22716","CARD CIRCUS PARADE",12,"3/24/11 8:56",0.42,15651,"United Kingdom"
"547563","22970","LONDON BUS COFFEE MUG",6,"3/24/11 8:56",2.55,15651,"United Kingdom"
"547563","22616","PACK OF 12 LONDON TISSUES",24,"3/24/11 8:56",0.29,15651,"United Kingdom"
"547563","22713","CARD I LOVE LONDON",12,"3/24/11 8:56",0.42,15651,"United Kingdom"
"547563","22024","RAINY LADIES BIRTHDAY CARD",12,"3/24/11 8:56",0.42,15651,"United Kingdom"
"547563","22971","QUEENS GUARD COFFEE MUG",6,"3/24/11 8:56",2.55,15651,"United Kingdom"
"547563","23127","DOLLCRAFT GIRL NICOLE",4,"3/24/11 8:56",4.95,15651,"United Kingdom"
"547563","23077","DOUGHNUT LIP GLOSS",40,"3/24/11 8:56",1.25,15651,"United Kingdom"
"547563","22615","PACK OF 12 CIRCUS PARADE TISSUES",24,"3/24/11 8:56",0.29,15651,"United Kingdom"
"547563","22973","CHILDREN'S CIRCUS PARADE MUG",12,"3/24/11 8:56",1.65,15651,"United Kingdom"
"547563","23002","TRAVEL CARD WALLET SKULLS",24,"3/24/11 8:56",0.42,15651,"United Kingdom"
"547563","22710","WRAP I LOVE LONDON",25,"3/24/11 8:56",0.42,15651,"United Kingdom"
"547563","22711","WRAP CIRCUS PARADE",25,"3/24/11 8:56",0.42,15651,"United Kingdom"
"547563","22570","FELTCRAFT CUSHION RABBIT",4,"3/24/11 8:56",3.75,15651,"United Kingdom"
"547563","22568","FELTCRAFT CUSHION OWL",4,"3/24/11 8:56",3.75,15651,"United Kingdom"
"547563","22371","AIRLINE BAG VINTAGE TOKYO 78",4,"3/24/11 8:56",4.25,15651,"United Kingdom"
"547564","21175","GIN + TONIC DIET METAL SIGN",24,"3/24/11 9:21",2.55,17512,"United Kingdom"
"547564","21181","PLEASE ONE PERSON METAL SIGN",48,"3/24/11 9:21",1.85,17512,"United Kingdom"
"547564","21166","COOK WITH WINE METAL SIGN",12,"3/24/11 9:21",2.08,17512,"United Kingdom"
"547564","22456","NATURAL SLATE CHALKBOARD LARGE",9,"3/24/11 9:21",4.95,17512,"United Kingdom"
"547564","22457","NATURAL SLATE HEART CHALKBOARD",12,"3/24/11 9:21",2.95,17512,"United Kingdom"
"547564","22488","NATURAL SLATE RECTANGLE CHALKBOARD",12,"3/24/11 9:21",1.65,17512,"United Kingdom"
"547564","82582","AREA PATROLLED METAL SIGN",24,"3/24/11 9:21",2.1,17512,"United Kingdom"
"547564","22677","FRENCH BLUE METAL DOOR SIGN 2",10,"3/24/11 9:21",1.25,17512,"United Kingdom"
"547564","22680","FRENCH BLUE METAL DOOR SIGN 5",10,"3/24/11 9:21",1.25,17512,"United Kingdom"
"547564","84755","COLOUR GLASS T-LIGHT HOLDER HANGING",144,"3/24/11 9:21",0.55,17512,"United Kingdom"
"547564","22678","FRENCH BLUE METAL DOOR SIGN 3",10,"3/24/11 9:21",1.25,17512,"United Kingdom"
"547565","20970","PINK FLORAL FELTCRAFT SHOULDER BAG",4,"3/24/11 9:21",3.75,13035,"United Kingdom"
"547565","21200","MULTICOLOUR HONEYCOMB PAPER GARLAND",12,"3/24/11 9:21",1.65,13035,"United Kingdom"
"547565","21677","HEARTS  STICKERS",12,"3/24/11 9:21",0.85,13035,"United Kingdom"
"547565","22273","FELTCRAFT DOLL MOLLY",6,"3/24/11 9:21",2.95,13035,"United Kingdom"
"547565","21213","PACK OF 72 SKULL CAKE CASES",48,"3/24/11 9:21",0.55,13035,"United Kingdom"
"547565","21975","PACK OF 60 DINOSAUR CAKE CASES",24,"3/24/11 9:21",0.55,13035,"United Kingdom"
"547565","22085","PAPER CHAIN KIT SKULLS",12,"3/24/11 9:21",2.95,13035,"United Kingdom"
"547565","22083","PAPER CHAIN KIT RETROSPOT",6,"3/24/11 9:21",2.95,13035,"United Kingdom"
"547565","22086","PAPER CHAIN KIT 50'S CHRISTMAS",40,"3/24/11 9:21",2.55,13035,"United Kingdom"
"547565","22084","PAPER CHAIN KIT EMPIRE",12,"3/24/11 9:21",2.95,13035,"United Kingdom"
"547565","21679","SKULLS  STICKERS",24,"3/24/11 9:21",0.85,13035,"United Kingdom"
