Date,GDP (£ m),CPI,Bank Rate,Gross Fixed Capital Formation (Investments)
2000 Q1,401242.0,1.1,5.875,69114.0
2000 Q2,404196.0,1.0,6.0,73074.0
2000 Q3,406795.0,1.2,6.0,68011.0
2000 Q4,409411.0,1.4,,70115.0
2001 Q1,413054.0,1.3,,70186.0
2001 Q2,414878.0,1.8,,72760.0
2001 Q3,417085.0,1.8,,72699.0
2001 Q4,418445.0,1.4,,70239.0
2002 Q1,419534.0,1.7,,70130.0
2002 Q2,421587.0,1.3,,70128.0
2002 Q3,424425.0,1.3,3.5,73834.0
2002 Q4,427725.0,1.6,,77492.0
2003 Q1,430832.0,1.5,,77778.0
2003 Q2,434837.0,1.3,,72951.0
2003 Q3,438710.0,1.4,,74012.0
2003 Q4,442172.0,1.3,3.75,74176.0
2004 Q1,443853.0,,4.0,76337.0
2004 Q2,446443.0,1.3,,75848.0
2004 Q3,448171.0,1.3,4.75,77191.0
2004 Q4,450464.0,1.5,4.75,77494.0
2005 Q1,453784.0,1.8,,78969.0
2005 Q2,457557.0,1.9,,80832.0
2005 Q3,461135.0,2.4,,80052.0
2005 Q4,465451.0,,4.5,79646.0
2006 Q1,467840.0,2.1,,80595.0
2006 Q2,469655.0,2.4,4.5,80940.0
2006 Q3,470918.0,2.5,,83735.0
2006 Q4,473372.0,2.7,,83427.0
2007 Q1,477823.0,2.8,,84438.0
2007 Q2,481314.0,2.6,,86522.0
2007 Q3,484544.0,2.0,,83075.0
2007 Q4,487413.0,2.3,5.5,88993.0
2008 Q1,489783.0,2.5,,84847.0
2008 Q2,487386.0,3.3,,85799.0
2008 Q3,479872.0,4.5,,81323.0
2008 Q4,469694.0,3.7,3.166666,79978.0
2009 Q1,460105.0,2.9,,75261.0
2009 Q2,458599.0,2.0,0.5,72063.0
2009 Q3,458875.0,1.4,,72551.0
2009 Q4,460238.0,1.6,,71335.0
2010 Q1,464543.0,2.4,,75138.0
2010 Q2,469606.0,2.5,,74022.0
2010 Q3,472199.0,2.3,,78973.0
2010 Q4,472612.0,2.7,0.5,78973.0
2011 Q1,473819.0,3.5,,75922.0
2011 Q2,474365.0,3.8,,75107.0
2011 Q3,475813.0,4.0,,76824.0
2011 Q4,476479.0,4.0,,77501.0
2012 Q1,480632.0,3.1,,78655.0
2012 Q2,479979.0,,,76645.0
2012 Q3,484579.0,2.2,,75936.0
2012 Q4,484039.0,2.4,,78986.0
2013 Q1,485409.0,2.5,0.5,76695.0
2013 Q2,488930.0,2.4,0.5,79896.0
2013 Q3,493002.0,2.4,0.5,81862.0
2013 Q4,496466.0,1.9,0.5,81850.0
2014 Q1,500552.0,1.6,,84610.0
2014 Q2,504939.0,1.6,,84341.0
2014 Q3,508741.0,1.5,0.5,85844.0
2014 Q4,512334.0,1.1,,88045.0
2015 Q1,513850.0,0.4,,91127.0
2015 Q2,516876.0,0.3,,91529.0
2015 Q3,518915.0,0.4,0.5,90849.0
2015 Q4,521920.0,0.4,,93835.0
2016 Q1,523813.0,0.7,,94838.0
2016 Q2,526750.0,,0.5,95631.0
2016 Q3,528712.0,1.0,0.25,98329.0
2016 Q4,532082.0,1.5,0.25,97427.0
2017 Q1,536566.0,2.2,0.25,99077.0
2017 Q2,540020.0,2.6,0.25,100304.0
2017 Q3,543452.0,2.7,,99419.0
2017 Q4,547377.0,2.8,,100952.0
2018 Q1,547688.0,2.5,,100378.0
2018 Q2,,2.2,,99211.0
2018 Q3,550425.0,2.3,0.75,99191.0
2018 Q4,551128.0,2.1,,99058.0
2019 Q1,555141.0,1.8,,102105.0
2019 Q2,,2.0,,101275.0
2019 Q3,560987.0,1.8,0.75,102100.0
2019 Q4,560861.0,1.4,0.75,100943.0
2020 Q1,,1.7,0.175,97191.0
2020 Q2,434718.0,0.8,0.1,78563.0
2020 Q3,507643.0,0.8,,90756.0
2020 Q4,514531.0,0.8,,96147.0
2021 Q1,509261.0,0.9,,93777.0
2021 Q2,546579.0,2.1,0.1,98872.0
2021 Q3,555956.0,2.7,0.1,98233.0
2021 Q4,564407.0,4.4,,98770.0
2022 Q1,567396.0,5.5,,103833.0
2022 Q2,567889.0,7.9,1.125,104294.0
2022 Q3,567445.0,8.7,2.0,106086.0
2022 Q4,568034.0,9.4,3.25,106689.0
2023 Q1,569336.0,9.0,4.125,109290.0
2023 Q2,569364.0,7.7,4.75,108245.0
2023 Q3,,6.3,5.25,106496.0
2023 Q4,566695.0,4.4,5.25,
