Species,Island,Bill Length Mm,Bill Depth Mm,Flipper Length Mm,Body Mass G,Sex,Mass/Flipper,Bill Length Mm Outlier,Bill Depth Mm Outlier,Flipper Length Mm Outlier,Body Mass G Outlier,Mass/Flipper Outlier
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,20.718232044198896,False,False,False,False,False
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,20.43010752688172,False,False,False,False,False
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,16.666666666666668,False,False,False,False,False
Adelie,Torgersen,,,,,,,False,False,False,False,False
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,17.875647668393782,False,False,False,False,False
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,19.210526315789473,False,False,False,False,False
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,20.027624309392266,False,False,False,False,False
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,23.974358974358974,False,False,False,False,False
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,18.00518134715026,False,False,False,False,False
Adelie,Torgersen,42.0,20.2,190.0,4250.0,,22.36842105263158,False,False,False,False,False
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,17.741935483870968,False,False,False,False,False
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,20.555555555555557,False,False,False,False,False
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,17.582417582417584,False,False,False,False,False
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,19.895287958115183,False,False,False,False,False
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,22.22222222222222,False,False,False,False,False
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,20.0,False,False,False,False,False
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,17.692307692307693,False,False,False,False,False
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,22.84263959390863,False,False,False,False,False
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,18.070652173913043,False,False,False,False,False
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,21.649484536082475,False,False,False,False,False
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,19.54022988505747,False,False,False,False,False
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,20.0,False,False,False,False,False
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,20.105820105820104,False,False,False,False,False
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,21.35135135135135,False,False,False,False,False
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,21.11111111111111,False,False,False,False,False
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,20.32085561497326,False,False,False,False,False
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,19.398907103825138,False,False,False,False,False
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,17.112299465240643,False,False,False,False,False
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,18.313953488372093,False,False,False,False,False
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,21.944444444444443,False,False,False,False,False
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,18.258426966292134,False,False,False,False,False
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,21.910112359550563,False,False,False,False,False
